update,dout_sub_data1_moving_rms_50,dout_sub_data2_moving_rms_50
761,20.016541731,19.871682652
762,19.933518075,19.869758788
763,20.019108015,19.850953198
764,20.023426280,19.828389460
765,20.016150622,19.763221253
766,19.970114815,19.832538920
767,19.973259266,19.800906184
768,19.976497620,19.785631150
769,19.997405546,19.761628042
770,19.973711294,19.747986516
771,19.965295604,19.738556902
772,20.019504775,19.716061618
773,20.031421032,19.711075929
774,20.021853775,19.686024049
775,19.974958609,19.708153498
776,19.930252668,19.705958490
777,19.867981420,19.686723590
778,19.833239055,19.687826551
779,19.801278458,19.689141315
780,19.756558405,19.664561308
781,19.772509054,19.659274801
782,19.751811490,19.613461849
783,19.745324220,19.602110673
784,19.754134468,19.546153440
785,19.739245897,19.497372717
786,19.689965537,19.513049114
787,19.748249832,19.455105830
788,19.731587439,19.489968115
789,19.723346572,19.471300492
790,19.663332082,19.453513821
791,19.668472233,19.422322945
792,19.629386134,19.425203069
793,19.636863293,19.418232964
794,19.624538575,19.420304544
795,19.628032432,19.432208903
796,19.631359752,19.391848066
797,19.612185716,19.366147194
798,19.562231833,19.389130976
799,19.568058521,19.360962196
800,19.565491487,19.326168787
801,19.620336389,19.303725769
802,19.614536883,19.262265109
803,19.657914437,19.251974296
804,19.674197751,19.261146680
805,19.682511454,19.242375856
806,19.714481987,19.257256888
807,19.714963135,19.266658098
808,19.658213841,19.285873438
809,19.652192898,19.319597748
810,19.624701636,19.364536068
811,19.642379838,19.380219666
812,19.635780751,19.357337479
813,19.584151026,19.354172677
814,19.555377777,19.358656978
815,19.540244186,19.413126634
816,19.553948816,19.371251158
817,19.528513951,19.395749166
818,19.590058703,19.397740664
819,19.642077283,19.387527655
820,19.669384477,19.409926768
821,19.737601533,19.420522282
822,19.718736558,19.448122935
823,19.766878502,19.419919082
824,19.769211271,19.454668187
825,19.759858299,19.437204384
826,19.801517979,19.465905725
827,19.816815370,19.478747393
828,19.816688494,19.468706025
829,19.813692235,19.458116191
830,19.802305782,19.463016944
831,19.799113977,19.496194500
832,19.783817341,19.469662848
833,19.800836923,19.508360113
834,19.800323230,19.534979615
835,19.815886844,19.555024199
836,19.886601376,19.543954856
837,19.823780813,19.574835157
838,19.839300103,19.560631015
839,19.849577182,19.558203248
840,19.904790522,19.572391634
841,19.917294710,19.632433806
842,19.925248878,19.615273932
843,19.937387707,19.685249010
844,19.942385586,19.647734875
845,19.876058822,19.658856238
846,19.863079894,19.675132964
847,19.823374370,19.678019645
848,19.816506828,19.641009575
849,19.807011745,19.642097648
850,19.753850981,19.657728397
851,19.747543789,19.639269698
852,19.772514834,19.652707556
853,19.796259387,19.648915637
854,19.785602269,19.594092404
855,19.750156600,19.601947425
856,19.729635432,19.611506826
857,19.732453327,19.575150428
858,19.765195962,19.561986461
859,19.752685170,19.513880774
860,19.715293556,19.530152512
861,19.709646659,19.525611020
862,19.719272661,19.515769448
863,19.706013585,19.494526704
864,19.719942046,19.498193323
865,19.745251870,19.457255716
866,19.744137647,19.464907618
867,19.780096779,19.444170628
868,19.731477390,19.450106133
869,19.669253744,19.448913300
870,19.656530721,19.429229821
871,19.576688761,19.446016118
872,19.565903287,19.401867362
873,19.532276584,19.430070950
874,19.525248124,19.402721459
875,19.519209586,19.415181100
876,19.509402861,19.357346335
877,19.501308381,19.313370646
878,19.487622445,19.272331018
879,19.460944038,19.253485028
880,19.484587316,19.250484224
881,19.477931835,19.207813886
882,19.464279371,19.223886927
883,19.436195983,19.200422614
884,19.392917706,19.186271878
885,19.407892356,19.155672043
886,19.356956668,19.160626294
887,19.397157376,19.161440447
888,19.379361629,19.162949370
889,19.382852510,19.145810433
